"fips","YearData","govid_14","Name","STATEAB","demshare_fg","demshare_oc","demshare_gh","mayor_party","runnerup_party","mayor_votes","runnerup_votes","mayor_name","runnerup_name","winner_pid","runner1_pid","winnervotes","runner1_votes","winner","runner1","population_est","elec_source","winner_cf_party","runnerup_cf_party","winner_pid_check","runnerup_pid_check","winner_pid_gh","runnerup_pid_gh","elecdate","month","gh_oc","gh_fg","oc_fg","mayor_party_final","pass_mayor","mayor_votes_final","runnerup_party_final","pass_runnerup","runnerup_votes_final","demshare","fail","elec_index","STATE","ID","FIPS_PLACE_ID","JURIS","fog","initiative","partisan","referendum","termlength","termlimits","STATEFIP","mayor_name_final","runnerup_name_final"
1827000,2007,152045005,"GARY CITY","IN",NA,0.26851685,NA,NA,NA,NA,NA,NA,NA,"D","R",8529,2569,"Rudolph 'Rudy' Clay(I)","Charles R. Smith, Jr.",96429,"<a href=""http://www.in.gov/apps/sos/election/general/general2007?page=district&amp;countyID=-1&amp;officeID=32&amp;districtID=843&amp;candidate="" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,2007-11-06,NA,NA,NA,NA,"D",1,8529,"R",-1,2569,0.76851685,NA,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rudolph 'rudy' clay","charles smith"
1827000,2011,152045005,"GARY CITY","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NP",11465,995,"Karen M. Freeman-Wilson","LaVetta Sparks-Wade",80294,"<a href=""http://www.lakecountyin.org/cms-host/voters/microvote/2011GeneralElectionResults/"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,2011-11-08,NA,NA,NA,NA,"D",1,11465,"0",NA,995,NA,NA,2436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"karen freeman-wilson","lavetta sparks-wade"
1827054,1999,NA,NA,NA,0.231625835,NA,NA,"D","R",1314,482,"Eugene Linn","George E. Armes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1314,"R",-1,482,0.731625835,NA,8630,"IN",187921,27054,"City of Gas City",1,NA,1,NA,4,0,18,"eugene linn","george armes"
1827054,2003,NA,NA,NA,0.099814729,NA,NA,"D","R",1295,864,"H. Larry Leach","Steven J. Barker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1295,"R",-1,864,0.599814729,NA,9070,"IN",187921,27054,"City of Gas City",1,NA,1,NA,4,0,18,"h larry leach","steven barker"
1828386,1947,NA,NA,NA,-0.117374434,NA,NA,"R","D",2864,1775,"Rollin R Roth","Lloyd J Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,2864,"D",-1,1775,0.382625566,NA,6893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rollin roth","lloyd martin"
1828386,1951,NA,NA,NA,-0.126564004,NA,NA,"R","D",1953,1164,"Rollin R Roth","Lynn W Stump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,1953,"D",-1,1164,0.373435996,NA,7033,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"rollin roth","lynn stump"
1828386,1955,NA,NA,NA,0.05887372,NA,NA,"D","R",2620,2068,"Ray B Messick","Rollin R Roth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2620,"R",-1,2068,0.55887372,NA,7103,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"ray messick","rollin roth"
1828386,1959,NA,NA,NA,0.023690773,NA,NA,"D","R",2310,2101,"Ray B Messick","Roy Rogers Jr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2310,"R",-1,2101,0.523690773,NA,7257,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"ray messick","roy rogers jr"
1828386,1963,NA,NA,NA,-0.052334944,NA,NA,"R","D",2058,1668,"Ralph B Schenk","Claude R. Landaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,2058,"D",-1,1668,0.447665056,NA,7401,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"ralph schenk","claude landaw"
1828386,1967,NA,NA,NA,-0.173347949,NA,NA,"R","D",2150,1043,"Ralph B Schenk","Lynn W Stump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,2150,"D",-1,1043,0.326652051,NA,7599,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"ralph schenk","lynn stump"
1828386,1971,152020003,"GOSHEN CITY","IN",-0.171807229,NA,NA,"R","D",2788,1362,"Ralph B Schenk","Charles E. Vinson",NA,NA,NA,NA,NA,NA,17738,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,2788,"D",-1,1362,0.328192771,NA,2522,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"ralph schenk","charles vinson"
1828386,1975,152020003,"GOSHEN CITY","IN",0.011273957,NA,NA,"D","R",2721,2601,"Max Chiddister","Sidney S Sorg",NA,NA,NA,NA,NA,NA,17938,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2721,"R",-1,2601,0.511273957,NA,2523,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"max chiddister","sidney sorg"
1828386,1979,152020003,"GOSHEN CITY","IN",-0.115625544,NA,NA,"R","D",3538,2209,"Max Chiddister","Steven R Chisick",NA,NA,NA,NA,NA,NA,18790,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,3538,"D",-1,2209,0.384374456,NA,2524,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"max chiddister","steven chisick"
